Step,Description,RewardChange
0,Dont have an Army,2
0,Imbalanced forces penalty,-5
0,Perfect amount of miners,10
0,Gold < 1000 and active gatherers,2
1,Have an Army,2
1,Imbalanced forces penalty,-5
2,Have an Army,2
2,Imbalanced forces penalty,-5
3,Have an Army,2
3,Imbalanced forces penalty,-5
4,Have an Army,2
4,Imbalanced forces penalty,-5
5,Have an Army,2
5,Imbalanced forces penalty,-5
6,Have an Army,2
6,Imbalanced forces penalty,-5
7,Have an Army,2
7,Imbalanced forces penalty,-5
8,Have an Army,2
8,Imbalanced forces penalty,-5
9,Have an Army,2
9,Imbalanced forces penalty,-5
10,Have an Army,2
10,Imbalanced forces penalty,-5
11,Have an Army,2
11,Imbalanced forces penalty,-5
12,Have an Army,2
12,Imbalanced forces penalty,-5
13,Have an Army,2
13,Imbalanced forces penalty,-5
14,Have an Army,2
14,Imbalanced forces penalty,-5
15,Have an Army,2
15,Imbalanced forces penalty,-5
16,Have an Army,2
16,Imbalanced forces penalty,-5
17,Have an Army,2
17,Imbalanced forces penalty,-5
18,Have an Army,2
18,Imbalanced forces penalty,-5
19,Have an Army,2
19,Imbalanced forces penalty,-5
20,Have an Army,2
20,Imbalanced forces penalty,-5
20,Perfect amount of miners,10
21,Have an Army,2
21,Imbalanced forces penalty,-5
22,Have an Army,2
22,Balanced forces bonus,5
23,Have an Army,2
23,Balanced forces bonus,5
24,Have an Army,2
24,Balanced forces bonus,5
25,Have an Army,2
25,Balanced forces bonus,5
26,Have an Army,2
26,Balanced forces bonus,5
27,Have an Army,2
27,Balanced forces bonus,5
28,Have an Army,2
28,Balanced forces bonus,5
29,Have an Army,2
29,Balanced forces bonus,5
30,Have an Army,2
30,Balanced forces bonus,5
30,Gold < 1000 and active gatherers,2
31,Have an Army,2
31,Balanced forces bonus,5
32,Have an Army,2
32,Balanced forces bonus,5
33,Have an Army,2
33,Balanced forces bonus,5
34,Have an Army,2
34,Balanced forces bonus,5
35,Lost units,-2
35,Have an Army,2
35,Balanced forces bonus,5
36,Have an Army,2
36,Balanced forces bonus,5
37,Have an Army,2
37,Balanced forces bonus,5
38,Have an Army,2
38,Balanced forces bonus,5
39,Have an Army,2
39,Balanced forces bonus,5
