step,gold,health,miners,swordsmen,archers,stateValue,nearby_resources_available,enemy_health,enemy_miners,enemy_swordsmen,enemy_archers,enemies_in_vicinity,episode_time,action
0,100.0,1000.0,1.0,0.0,0.0,1.0,6.0,1000.0,0.1,0.0,0.0,0.0,0.1222989,0
1,100.0,1000.0,1.0,0.0,0.0,1.0,6.0,1000.0,0.1,0.0,0.0,0.0,0.6166055,0
2,100.0,1000.0,1.0,0.0,0.0,1.0,6.0,1000.0,0.1,0.0,0.0,0.0,1.6194599,0
3,100.0,1000.0,1.0,0.0,0.0,1.0,6.0,1000.0,0.1,0.0,0.0,0.0,2.6222708,0
4,110.0,1000.0,1.0,0.0,0.0,1.0,6.0,1000.0,0.1,0.0,0.0,0.0,3.6251788,0
5,110.0,1000.0,1.0,0.0,0.0,1.0,6.0,1000.0,0.1,0.0,0.0,0.0,4.6280155,0
6,110.0,1000.0,1.0,0.0,0.0,1.0,6.0,1000.0,0.1,0.0,0.0,0.0,5.630929,0
7,120.0,1000.0,1.0,0.0,0.0,1.0,6.0,1000.0,0.1,0.0,0.0,0.0,6.633699,0
8,120.0,1000.0,1.0,0.0,0.0,1.0,6.0,1000.0,0.1,0.0,0.0,0.0,7.6365047,0
9,120.0,1000.0,1.0,0.0,0.0,1.0,6.0,1000.0,0.1,0.0,0.0,0.0,8.639711,0
10,130.0,1000.0,1.0,0.0,0.0,1.0,6.0,1000.0,0.1,0.0,0.0,0.0,9.642272,0
11,130.0,1000.0,1.0,0.0,0.0,1.0,6.0,1000.0,0.1,0.0,0.0,0.0,10.645122,0
12,130.0,1000.0,1.0,0.0,0.0,1.0,6.0,1000.0,0.1,0.0,0.0,0.0,11.6501875,0
13,140.0,1000.0,1.0,0.0,0.0,1.0,6.0,1000.0,0.1,0.0,0.0,0.0,12.653785,0
14,140.0,1000.0,1.0,0.0,0.0,1.0,6.0,1000.0,0.1,0.0,0.0,0.0,13.659759,0
15,140.0,1000.0,1.0,0.0,0.0,1.0,6.0,1000.0,0.1,0.0,0.0,0.0,14.662136,0
16,150.0,1000.0,1.0,0.0,0.0,1.0,6.0,1000.0,0.1,0.0,0.0,0.0,15.682216,0
17,150.0,1000.0,1.0,0.0,0.0,1.0,6.0,1000.0,0.1,0.0,0.0,0.0,16.734426,0
18,150.0,1000.0,1.0,0.0,0.0,1.0,6.0,1000.0,0.1,0.0,0.0,0.0,17.794708,0
19,160.0,1000.0,1.0,0.0,0.0,1.0,6.0,1000.0,0.1,0.0,0.0,0.0,18.90018,0
20,160.0,1000.0,1.0,0.0,0.0,1.0,6.0,1000.0,0.1,0.0,0.0,0.0,20.01981,0
21,170.0,1000.0,1.0,0.0,0.0,1.0,6.0,1000.0,0.1,0.0,0.0,0.0,21.123724,0
22,170.0,1000.0,1.0,0.0,0.0,1.0,6.0,1000.0,0.1,0.0,0.0,0.0,22.23476,0
23,170.0,1000.0,1.0,0.0,0.0,1.0,6.0,1000.0,0.1,0.0,0.0,0.0,23.401207,0
24,180.0,1000.0,1.0,0.0,0.0,1.0,6.0,1000.0,0.1,0.0,0.0,0.0,24.517628,0
25,180.0,1000.0,1.0,0.0,0.0,1.0,6.0,1000.0,0.1,0.0,0.0,0.0,25.652962,0
26,180.0,1000.0,1.0,0.0,0.0,1.0,6.0,1000.0,0.1,0.0,0.0,0.0,26.679483,0
27,190.0,1000.0,1.0,0.0,0.0,1.0,6.0,1000.0,0.1,0.0,0.0,0.0,27.7344,0
28,190.0,1000.0,1.0,0.0,0.0,1.0,6.0,1000.0,0.1,0.0,0.0,0.0,28.848907,0
29,190.0,1000.0,1.0,0.0,0.0,1.0,6.0,1000.0,0.1,0.0,0.0,0.0,29.95751,0
30,200.0,1000.0,1.0,0.0,0.0,1.0,6.0,1000.0,0.1,0.0,0.0,0.0,31.06827,0
31,200.0,1000.0,1.0,0.0,0.0,1.0,6.0,1000.0,0.1,0.0,0.0,0.0,32.182594,0
32,210.0,1000.0,1.0,0.0,0.0,1.0,6.0,1000.0,0.1,0.0,0.0,0.0,33.23932,0
33,210.0,1000.0,1.0,0.0,0.0,1.0,6.0,1000.0,0.1,0.0,0.0,0.0,34.34686,0
34,210.0,1000.0,1.0,0.0,0.0,1.0,6.0,1000.0,0.1,0.0,0.0,0.0,35.460567,0
35,220.0,1000.0,1.0,0.0,0.0,1.0,6.0,1000.0,0.1,0.0,0.0,0.0,36.515625,0
36,220.0,1000.0,1.0,0.0,0.0,1.0,6.0,1000.0,0.1,0.0,0.0,0.0,37.62459,0
37,220.0,1000.0,1.0,0.0,0.0,1.0,6.0,1000.0,0.1,0.0,0.0,0.0,38.73716,0
38,230.0,1000.0,1.0,0.0,0.0,1.0,6.0,1000.0,0.1,0.0,0.0,0.0,39.79182,0
39,230.0,1000.0,1.0,0.0,0.0,1.0,6.0,1000.0,0.1,0.0,0.0,0.0,40.90195,0
40,230.0,1000.0,1.0,0.0,0.0,1.0,6.0,1000.0,0.1,0.0,0.0,0.0,42.01325,0
41,240.0,1000.0,1.0,0.0,0.0,1.0,6.0,1000.0,0.1,0.0,0.0,0.0,43.069084,0
42,240.0,1000.0,1.0,0.0,0.0,1.0,6.0,1000.0,0.1,0.0,0.0,0.0,44.12505,0
43,250.0,1000.0,1.0,0.0,0.0,1.0,6.0,1000.0,0.1,0.0,0.0,0.0,45.183254,0
44,250.0,1000.0,1.0,0.0,0.0,1.0,6.0,1000.0,0.1,0.0,0.0,0.0,46.23792,0
45,250.0,1000.0,1.0,0.0,0.0,1.0,6.0,1000.0,0.1,0.0,0.0,0.0,47.293034,0
46,260.0,1000.0,1.0,0.0,0.0,1.0,6.0,1000.0,0.1,0.0,0.0,0.0,48.40236,0
47,260.0,1000.0,1.0,0.0,0.0,1.0,6.0,1000.0,0.1,0.0,0.0,0.0,49.518063,0
48,460.0,1000.0,1.0,0.0,0.0,1.0,6.0,1000.0,0.1,0.0,0.0,0.0,50.62517,0
49,470.0,1000.0,1.0,0.0,0.0,1.0,6.0,1000.0,0.1,0.0,0.0,0.0,51.681118,0
50,470.0,1000.0,1.0,0.0,0.0,1.0,6.0,1000.0,0.1,0.0,0.0,0.0,52.7358,0
51,470.0,1000.0,1.0,0.0,0.0,1.0,6.0,1000.0,0.1,0.0,0.0,0.0,53.793743,0
